"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3606","@web uiControls","","2026-05-15","passed","2026-05-15","","tag_tests.spec.js","",""
"","10659","@smoke First Playwright test","","2026-05-15","passed","2026-05-15","","tag_tests.spec.js","",""
"","918","@smoke Page Playwright test","","2026-05-15","passed","2026-05-15","","tag_tests.spec.js","",""
"","11356","@Webst Client App login","","2026-05-15","failed","2026-05-15","","DownloadedFile.spec.js","",""
"","3910","Visual validation","","2026-05-15","failed","2026-05-15","","Screenshot_VisualComparision.spec.js","",""
"","52463","VerifyOrderHistory","","2026-05-15","passed","2026-05-15","","RefactorWebAPI.spec.js","",""
"","7694","@web child windows handling","","2026-05-15","failed","2026-05-15","","tag_tests.spec.js","",""
"","52311","VerifyOrderHistory","","2026-05-15","passed","2026-05-15","","WebAPI-1.spec.js","",""
